danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.557,0.886,11,-4.196,0,0.0498,0.000595,9.84e-05,0.0904,0.17,114.025,audio_features,1UWGkn34CD31VQfdi4D8Zp,spotify:track:1UWGkn34CD31VQfdi4D8Zp,https://api.spotify.com/v1/tracks/1UWGkn34CD31VQfdi4D8Zp,https://api.spotify.com/v1/audio-analysis/1UWGkn34CD31VQfdi4D8Zp,262440,4,3
0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,audio_features,7e89621JPkKaeDSTQ3avtg,spotify:track:7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/tracks/7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/audio-analysis/7e89621JPkKaeDSTQ3avtg,283800,4,6
0.422,0.752,6,-8.682,1,0.0449,0.0366,0.000119,0.129,0.403,120.471,audio_features,1ju7EsSGvRybSNEsRvc7qY,spotify:track:1ju7EsSGvRybSNEsRvc7qY,https://api.spotify.com/v1/tracks/1ju7EsSGvRybSNEsRvc7qY,https://api.spotify.com/v1/audio-analysis/1ju7EsSGvRybSNEsRvc7qY,356627,4,5
0.428,0.682,1,-10.862,1,0.0441,0.313,1.34e-05,0.116,0.961,168.58,audio_features,02UFwtmJ0ogLQWMx43Okuh,spotify:track:02UFwtmJ0ogLQWMx43Okuh,https://api.spotify.com/v1/tracks/02UFwtmJ0ogLQWMx43Okuh,https://api.spotify.com/v1/audio-analysis/02UFwtmJ0ogLQWMx43Okuh,209800,4,5
0.244,0.643,6,-6.497,1,0.0427,0.00696,0.00963,0.0933,0.208,79.034,audio_features,1Yzi4gxDELjWljeiJWyMab,spotify:track:1Yzi4gxDELjWljeiJWyMab,https://api.spotify.com/v1/tracks/1Yzi4gxDELjWljeiJWyMab,https://api.spotify.com/v1/audio-analysis/1Yzi4gxDELjWljeiJWyMab,344747,4,2
0.441,0.962,9,-4.408,1,0.0447,2.11e-05,0.77,0.193,0.494,91.989,audio_features,4nVNMGPV4WWF7oEjUpNgIa,spotify:track:4nVNMGPV4WWF7oEjUpNgIa,https://api.spotify.com/v1/tracks/4nVNMGPV4WWF7oEjUpNgIa,https://api.spotify.com/v1/audio-analysis/4nVNMGPV4WWF7oEjUpNgIa,231520,4,6
0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,audio_features,0G21yYKMZoHa30cYVi1iA8,spotify:track:0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/tracks/0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/audio-analysis/0G21yYKMZoHa30cYVi1iA8,273480,4,5
0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,audio_features,08mG3Y1vljYA6bvDt4Wqkj,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,255493,4,5
0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,audio_features,5CQ30WqJwcep0pYcV4AMNc,spotify:track:5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/audio-analysis/5CQ30WqJwcep0pYcV4AMNc,482830,4,2
0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,audio_features,2DlHlPMa4M17kufBvI2lEN,spotify:track:2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,210240,4,5
0.423,0.685,4,-9.651,0,0.078,6.28e-05,0.00642,0.133,0.328,162.78,audio_features,3Jnxngdff0lVu2rza1GVx6,spotify:track:3Jnxngdff0lVu2rza1GVx6,https://api.spotify.com/v1/tracks/3Jnxngdff0lVu2rza1GVx6,https://api.spotify.com/v1/audio-analysis/3Jnxngdff0lVu2rza1GVx6,167720,4,5
0.302,0.896,6,-5.3,1,0.0755,0.0011,0.00116,0.197,0.232,177.678,audio_features,3XKFqM8S38bUxxUpylxlpX,spotify:track:3XKFqM8S38bUxxUpylxlpX,https://api.spotify.com/v1/tracks/3XKFqM8S38bUxxUpylxlpX,https://api.spotify.com/v1/audio-analysis/3XKFqM8S38bUxxUpylxlpX,308667,4,5
